Kód ADM,Kód obce,Název obce,Název MOMC,Název MOP,Kód èásti obce,Název èásti obce,Název ulice,Typ SO,Èíslo domovní,Èíslo orientaèní,Znak èísla orientaèního,PSÈ,Souøadnice Y,Souøadnice X,Platí Od,Jednoøádková adresa,Èíslo volebního okrsku,,
21767424,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Pøíbìnická,è.p.,32,2,,13000,741535,87,1043345,28,10.07.2017,Pøíbìnická 32/2~Žižkov~13000 Praha 3,3001
21767432,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Seifertova,è.p.,32,3,,13000,741531,86,1043369,66,10.07.2017,Seifertova 32/3~Žižkov~13000 Praha 3,3001
26141752,554782,Praha,Praha 3,Praha 3,490261,Žižkov,U Rajské zahrady,è.ev.,114,,,13000,741329,88,1043642,23,10.07.2017,U Rajské zahrady è.ev. 114~Žižkov~13000 Praha 3,3001
21770441,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Vlkova,è.p.,365,19,,13000,741120,1,1043707,26,10.07.2017,Vlkova 365/19~Žižkov~13000 Praha 3,3001
21770450,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Vlkova,è.p.,366,21,,13000,741109,47,1043704,67,10.07.2017,Vlkova 366/21~Žižkov~13000 Praha 3,3001
21770468,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Vlkova,è.p.,368,3,,13000,741244,38,1043725,93,10.07.2017,Vlkova 368/3~Žižkov~13000 Praha 3,3001
21770859,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Vlkova,è.p.,409,11,,13000,741183,3,1043720,19,10.07.2017,Vlkova 409/11~Žižkov~13000 Praha 3,3001
21771090,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Italská,è.p.,438,36,,13000,741561,45,1043771,59,10.07.2017,Italská 438/36~Žižkov~13000 Praha 3,3001
21771103,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Vozová,è.p.,438,1,,13000,741553,3,1043781,47,10.07.2017,Vozová 438/1~Žižkov~13000 Praha 3,3001
21771111,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Vlkova,è.p.,439,6,,13000,741222,54,1043747,49,10.07.2017,Vlkova 439/6~Žižkov~13000 Praha 3,3001
21771138,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Vlkova,è.p.,441,20,,13000,741106,74,1043722,77,10.07.2017,Vlkova 441/20~Žižkov~13000 Praha 3,3001
21771146,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Vlkova,è.p.,442,18,,13000,741123,4,1043726,22,10.07.2017,Vlkova 442/18~Žižkov~13000 Praha 3,3001
21771171,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Vlkova,è.p.,444,13,,13000,741169,81,1043717,31,06.06.2017,Vlkova 444/13~Žižkov~13000 Praha 3,3001
21771201,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Krásova,è.p.,447,33,,13000,741060,92,1043523,86,10.07.2017,Krásova 447/33~Žižkov~13000 Praha 3,3001
21771219,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Seifertova,è.p.,447,53,,13000,741073,12,1043530,25,10.07.2017,Seifertova 447/53~Žižkov~13000 Praha 3,3001
21771286,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Vlkova,è.p.,452,15,,13000,741154,1,1043714,15,10.07.2017,Vlkova 452/15~Žižkov~13000 Praha 3,3001
21771308,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Vlkova,è.p.,454,14,,13000,741155,1,1043733,41,10.07.2017,Vlkova 454/14~Žižkov~13000 Praha 3,3001
21771316,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Seifertova,è.p.,455,17,,13000,741396,1,1043440,41,10.07.2017,Seifertova 455/17~Žižkov~13000 Praha 3,3001
21771324,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Vlkova,è.p.,456,10,,13000,741188,92,1043740,88,10.07.2017,Vlkova 456/10~Žižkov~13000 Praha 3,3001
21771341,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Vlkova,è.p.,458,12,,13000,741171,68,1043737,14,10.07.2017,Vlkova 458/12~Žižkov~13000 Praha 3,3001
21771413,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Seifertova,è.p.,465,15,,13000,741417,71,1043435,65,10.07.2017,Seifertova 465/15~Žižkov~13000 Praha 3,3001
21771421,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Vozová,è.p.,467,3,,13000,741465,16,1043805,99,13.06.2017,Vozová 467/3~Žižkov~13000 Praha 3,3001
21771430,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Vlkova,è.p.,468,17,,13000,741135,9,1043710,99,10.07.2017,Vlkova 468/17~Žižkov~13000 Praha 3,3001
21771570,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Vlkova,è.p.,479,9,,13000,741197,68,1043723,64,10.07.2017,Vlkova 479/9~Žižkov~13000 Praha 3,3001
21771855,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Vlkova,è.p.,507,16,,13000,741138,6,1043729,38,10.07.2017,Vlkova 507/16~Žižkov~13000 Praha 3,3001
21772088,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Vlkova,è.p.,526,5,,13000,741225,7,1043729,67,10.07.2017,Vlkova 526/5~Žižkov~13000 Praha 3,3001
21772142,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Vlkova,è.p.,532,8,,13000,741208,75,1043744,61,10.07.2017,Vlkova 532/8~Žižkov~13000 Praha 3,3001
21772177,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Boøivojova,è.p.,536,106,,13000,741119,1,1043803,76,10.07.2017,Boøivojova 536/106~Žižkov~13000 Praha 3,3001
21772207,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Vlkova,è.p.,539,7,,13000,741208,75,1043725,93,10.07.2017,Vlkova 539/7~Žižkov~13000 Praha 3,3001
21772355,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Seifertova,è.p.,555,47,,13000,741155,3,1043503,81,10.07.2017,Seifertova 555/47~Žižkov~13000 Praha 3,3001
21772410,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Seifertova,è.p.,559,51,,13000,741106,74,1043520,19,10.07.2017,Seifertova 559/51~Žižkov~13000 Praha 3,3001
21772428,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Seifertova,è.p.,560,49,,13000,741137,2,1043509,56,10.07.2017,Seifertova 560/49~Žižkov~13000 Praha 3,3001
21772436,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Seifertova,è.p.,561,45,,13000,741171,62,1043498,7,10.07.2017,Seifertova 561/45~Žižkov~13000 Praha 3,3001
21772444,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Seifertova,è.p.,562,43,,13000,741181,26,1043495,2,10.07.2017,Seifertova 562/43~Žižkov~13000 Praha 3,3001
21772452,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Seifertova,è.p.,563,35,,13000,741251,83,1043472,51,10.07.2017,Seifertova 563/35~Žižkov~13000 Praha 3,3001
21772461,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Seifertova,è.p.,564,33,,13000,741267,89,1043468,35,10.07.2017,Seifertova 564/33~Žižkov~13000 Praha 3,3001
21772479,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Seifertova,è.p.,565,37,,13000,741241,4,1043476,4,10.07.2017,Seifertova 565/37~Žižkov~13000 Praha 3,3001
21772487,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Husinecká,è.p.,566,1,,13000,741217,95,1043475,47,10.07.2017,Husinecká 566/1~Žižkov~13000 Praha 3,3001
21772495,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Seifertova,è.p.,566,39,,13000,741227,16,1043480,85,10.07.2017,Seifertova 566/39~Žižkov~13000 Praha 3,3001
21772550,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Seifertova,è.p.,571,5,,13000,741516,1,1043386,6,10.07.2017,Seifertova 571/5~Žižkov~13000 Praha 3,3001
21772584,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Seifertova,è.p.,573,11,,13000,741446,24,1043430,3,10.07.2017,Seifertova 573/11~Žižkov~13000 Praha 3,3001
21772592,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Seifertova,è.p.,574,13,,13000,741432,27,1043432,68,10.07.2017,Seifertova 574/13~Žižkov~13000 Praha 3,3001
21772746,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Vlkova,è.p.,587,22,,13000,741088,35,1043718,75,10.07.2017,Vlkova 587/22~Žižkov~13000 Praha 3,3001
21772916,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Vlkova,è.p.,602,25,,13000,741088,2,1043700,36,10.07.2017,Vlkova 602/25~Žižkov~13000 Praha 3,3001
21773050,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Vlkova,è.p.,614,4,,13000,741236,33,1043750,65,10.07.2017,Vlkova 614/4~Žižkov~13000 Praha 3,3001
21773157,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Boøivojova,è.p.,623,100,,13000,741064,65,1043792,28,10.07.2017,Boøivojova 623/100~Žižkov~13000 Praha 3,3001
21773262,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Vlkova,è.p.,631,24,,13000,741073,4,1043715,88,10.07.2017,Vlkova 631/24~Žižkov~13000 Praha 3,3001
21773351,554782,Praha,Praha 3,Praha 3,490261,Žižkov,U Rajské zahrady,è.p.,639,16,,13000,741256,62,1043765,78,10.07.2017,U Rajské zahrady 639/16~Žižkov~13000 Praha 3,3001
21773360,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Vlkova,è.p.,639,2,,13000,741250,41,1043753,81,10.07.2017,Vlkova 639/2~Žižkov~13000 Praha 3,3001
21773874,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Boøivojova,è.p.,692,122,,13000,741232,14,1043828,7,10.07.2017,Boøivojova 692/122~Žižkov~13000 Praha 3,3001
21773882,554782,Praha,Praha 3,Praha 3,490261,Žižkov,U Rajské zahrady,è.p.,692,10,,13000,741243,28,1043820,98,10.07.2017,U Rajské zahrady 692/10~Žižkov~13000 Praha 3,3001
21773891,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Boøivojova,è.p.,693,110,,13000,741147,38,1043810,17,10.07.2017,Boøivojova 693/110~Žižkov~13000 Praha 3,3001
21773904,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Boøivojova,è.p.,694,108,,13000,741134,55,1043807,47,10.07.2017,Boøivojova 694/108~Žižkov~13000 Praha 3,3001
21773971,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Krásova,è.p.,699,21,,13000,741051,48,1043718,66,10.07.2017,Krásova 699/21~Žižkov~13000 Praha 3,3001
21773980,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Vlkova,è.p.,699,26,,13000,741059,9,1043713,10.07.2017,Vlkova 699/26~Žižkov~13000 Praha 3,3001,
21774285,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Boøivojova,è.p.,729,114,,13000,741176,8,1043815,91,10.07.2017,Boøivojova 729/114~Žižkov~13000 Praha 3,3001
21774404,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Boøivojova,è.p.,741,95,,13000,741098,8,1043816,93,10.07.2017,Boøivojova 741/95~Žižkov~13000 Praha 3,3001
21774412,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Ježkova,è.p.,741,16,,13000,741106,1,1043819,63,10.07.2017,Ježkova 741/16~Žižkov~13000 Praha 3,3001
21774536,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Boøivojova,è.p.,754,98,,13000,741044,39,1043787,89,10.07.2017,Boøivojova 754/98~Žižkov~13000 Praha 3,3001
21774544,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Krásova,è.p.,754,11,,13000,741038,31,1043780,46,10.07.2017,Krásova 754/11~Žižkov~13000 Praha 3,3001
21774561,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Ježkova,è.p.,757,14,,13000,741112,9,1043829,8,10.07.2017,Ježkova 757/14~Žižkov~13000 Praha 3,3001
21774579,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Boøivojova,è.p.,758,102,,13000,741078,83,1043795,32,10.07.2017,Boøivojova 758/102~Žižkov~13000 Praha 3,3001
21774609,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Boøivojova,è.p.,761,97,,13000,741149,7,1043828,41,10.07.2017,Boøivojova 761/97~Žižkov~13000 Praha 3,3001
21774617,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Ježkova,è.p.,761,13,,13000,741137,42,1043834,82,10.07.2017,Ježkova 761/13~Žižkov~13000 Praha 3,3001
21774625,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Ježkova,è.p.,762,11,,13000,741148,22,1043852,5,10.07.2017,Ježkova 762/11~Žižkov~13000 Praha 3,3001
21774714,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Boøivojova,è.p.,771,112,,13000,741160,89,1043812,88,10.07.2017,Boøivojova 771/112~Žižkov~13000 Praha 3,3001
21774820,554782,Praha,Praha 3,Praha 3,490261,Žižkov,U Rajské zahrady,è.p.,779,12,,13000,741248,1,1043801,73,10.07.2017,U Rajské zahrady 779/12~Žižkov~13000 Praha 3,3001
21774994,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Boøivojova,è.p.,795,120,,13000,741217,28,1043825,3,10.07.2017,Boøivojova 795/120~Žižkov~13000 Praha 3,3001
21775010,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Boøivojova,è.p.,797,107,,13000,741228,76,1043844,96,10.07.2017,Boøivojova 797/107~Žižkov~13000 Praha 3,3001
21775028,554782,Praha,Praha 3,Praha 3,490261,Žižkov,U Rajské zahrady,è.p.,797,8,,13000,741235,34,1043856,1,10.07.2017,U Rajské zahrady 797/8~Žižkov~13000 Praha 3,3001
21775044,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Vlkova,è.p.,799,27,,13000,741076,71,1043698,6,10.07.2017,Vlkova 799/27~Žižkov~13000 Praha 3,3001
21775087,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Krásova,è.p.,801,23,,13000,741056,59,1043685,42,10.07.2017,Krásova 801/23~Žižkov~13000 Praha 3,3001
21775095,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Vlkova,è.p.,801,29,,13000,741063,2,1043694,9,10.07.2017,Vlkova 801/29~Žižkov~13000 Praha 3,3001
21775141,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Boøivojova,è.p.,806,118,,13000,741206,14,1043822,67,10.07.2017,Boøivojova 806/118~Žižkov~13000 Praha 3,3001
21775176,554782,Praha,Praha 3,Praha 3,490261,Žižkov,U Rajské zahrady,è.p.,809,14,,13000,741251,1,1043785,83,10.07.2017,U Rajské zahrady 809/14~Žižkov~13000 Praha 3,3001
21775257,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Boøivojova,è.p.,816,104,,13000,741097,74,1043799,3,10.07.2017,Boøivojova 816/104~Žižkov~13000 Praha 3,3001
21775273,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Boøivojova,è.p.,818,99,,13000,741171,35,1043833,14,10.07.2017,Boøivojova 818/99~Žižkov~13000 Praha 3,3001
21775303,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Vlkova,è.p.,821,23,,13000,741099,98,1043702,66,22.06.2017,Vlkova 821/23~Žižkov~13000 Praha 3,3001
21775320,554782,Praha,Praha 3,Praha 3,490261,Žižkov,Øehoøova,è.p.,823,2,,13000,741469,43,1043413,6,10.07.2017,Øehoøova 823/2~Žižkov~13000 Praha 3,3001
