CITY,STREET,ZIP CODE,CO,HLASY,PERCENT
Praha,Příběnická,13000,3001,37,5.270655270655271
Praha,Seifertova,13000,3001,37,5.270655270655271
Praha,U Rajské zahrady,13000,3001,37,5.270655270655271
Praha,Vlkova,13000,3001,37,5.270655270655271
Praha,Italská,13000,3001,37,5.270655270655271
Praha,Vozová,13000,3001,37,5.270655270655271
Praha,Krásova,13000,3001,37,5.270655270655271
Praha,Bořivojova,13000,3001,37,5.270655270655271
Praha,Husinecká,13000,3001,37,5.270655270655271
Praha,Ježkova,13000,3001,37,5.270655270655271
Praha,Řehořova,13000,3001,37,5.270655270655271
Praha,Kubelíkova,13000,3001,37,5.270655270655271
Praha,náměstí Winstona Churchilla,13000,3001,37,5.270655270655271
Praha,Siwiecova,13000,3001,37,5.270655270655271
Praha,Orebitská,13000,3002,22,3.767123287671233
Praha,Kostnické náměstí,13000,3002,22,3.767123287671233
Praha,Trocnovská,13000,3003,33,5.978260869565218
Praha,Husitská,13000,3003,33,5.978260869565218
Praha,Pernerova,18600,3003,33,5.978260869565218
Praha,Prvního pluku,13000,3003,33,5.978260869565218
Praha,Jeronýmova,13000,3003,33,5.978260869565218
Praha,U božích bojovníků,13000,3003,33,5.978260869565218
Praha,Pod Vítkovem,13000,3003,33,5.978260869565218
Praha,U památníku,13000,3003,33,5.978260869565218
Praha,Cimburkova,13000,3003,33,5.978260869565218
Praha,Milíčova,13000,3004,18,3.870967741935484
Praha,Dalimilova,13000,3004,18,3.870967741935484
Praha,Štítného,13000,3004,18,3.870967741935484
Praha,Chlumova,13000,3004,18,3.870967741935484
Praha,Prokopovo náměstí,13000,3004,18,3.870967741935484
Praha,Sladkovského náměstí,13000,3004,18,3.870967741935484
Praha,Prokopova,13000,3004,18,3.870967741935484
Praha,Blahníkova,13000,3004,18,3.870967741935484
Praha,Přibyslavská,13000,3005,16,3.50109409190372
Praha,Víta Nejedlého,13000,3005,16,3.50109409190372
Praha,Lipanská,13000,3005,16,3.50109409190372
Praha,,13000,3006,23,4.423076923076923
Praha,Čajkovského,13000,3007,27,4.873646209386282
Praha,Chvalova,13000,3007,27,4.873646209386282
Praha,Fibichova,13000,3007,27,4.873646209386282
Praha,Slavíkova,13000,3008,41,5.444887118193891
Praha,Zvonařova,13000,3008,41,5.444887118193891
Praha,Ševčíkova,13000,3008,41,5.444887118193891
Praha,Blodkova,13000,3008,41,5.444887118193891
Praha,Ondříčkova,13000,3008,41,5.444887118193891
Praha,Škroupovo náměstí,13000,3008,41,5.444887118193891
Praha,Pospíšilova,13000,3008,41,5.444887118193891
Praha,Křížkovského,13000,3008,41,5.444887118193891
Praha,Mahlerovy sady,13000,3009,38,4.755944931163955
Praha,Táboritská,13000,3010,20,3.8910505836575875
Praha,Tachovské náměstí,13000,3011,36,4.556962025316456
Praha,Havlíčkovo náměstí,13000,3011,36,4.556962025316456
Praha,Sabinova,13000,3011,36,4.556962025316456
Praha,Koněvova,13000,3011,36,4.556962025316456
Praha,Roháčova,13000,3011,36,4.556962025316456
Praha,Rokycanova,13000,3011,36,4.556962025316456
Praha,Lupáčova,13000,3011,36,4.556962025316456
Praha,Jeseniova,13000,3011,36,4.556962025316456
Praha,Chelčického,13000,3011,36,4.556962025316456
Praha,Lukášova,13000,3012,24,3.9867109634551494
Praha,Kališnická,13000,3012,24,3.9867109634551494
Praha,Domažlická,13000,3012,24,3.9867109634551494
Praha,Ostromečská,13000,3012,24,3.9867109634551494
Praha,Hájkova,13000,3012,24,3.9867109634551494
Praha,Zelenky-Hajského,13000,3012,24,3.9867109634551494
Praha,Jana Želivského,13000,3012,24,3.9867109634551494
Praha,Blahoslavova,13000,3013,18,3.0821917808219177
Praha,Českobratrská,13000,3014,27,3.6734693877551026
Praha,Komenského náměstí,13000,3014,27,3.6734693877551026
Praha,Olšanské náměstí,13000,3015,25,4.132231404958678
Praha,Sauerova,13000,3015,25,4.132231404958678
Praha,Olšanská,13000,3015,25,4.132231404958678
Praha,Pitterova,13000,3015,25,4.132231404958678
Praha,Pod Parukářkou,13000,3016,16,2.56
Praha,Malešická,13000,3016,16,2.56
Praha,U zásobní zahrady,13000,3016,16,2.56
Praha,Basilejské náměstí,13000,3016,16,2.56
Praha,Na Parukářce,13000,3016,16,2.56
Praha,Ke kapslovně,13000,3016,16,2.56
Praha,V kapslovně,13000,3016,16,2.56
Praha,Tovačovského,13000,3017,26,3.5616438356164384
Praha,Koldínova,13000,3017,26,3.5616438356164384
Praha,Žerotínova,13000,3017,26,3.5616438356164384
Praha,náměstí Barikád,13000,3017,26,3.5616438356164384
Praha,Černínova,13000,3018,27,4.3478260869565215
Praha,Biskupcova,13000,3019,23,4.107142857142857
Praha,Milešovská,13000,3020,22,3.559870550161812
Praha,Velehradská,13000,3020,22,3.559870550161812
Praha,náměstí Jiřího z Poděbrad,13000,3020,22,3.559870550161812
Praha,Jagellonská,13000,3020,22,3.559870550161812
Praha,Laubova,13000,3020,22,3.559870550161812
Praha,Přemyslovská,13000,3021,17,3.0035335689045937
Praha,Vinohradská,13000,3021,17,3.0035335689045937
Praha,Lucemburská,13000,3021,17,3.0035335689045937
Praha,Orlická,13000,3022,22,3.4267912772585665
Praha,Radhošťská,13000,3022,22,3.4267912772585665
Praha,Sudoměřská,13000,3023,19,2.490170380078637
Praha,Baranova,13000,3023,19,2.490170380078637
Praha,Žižkovo náměstí,13000,3024,18,2.674591381872214
Praha,Křišťanova,13000,3025,27,4.21875
Praha,Jičínská,13000,3025,27,4.21875
Praha,Řipská,13000,3027,22,3.5541195476575123
Praha,Slezská,13000,3027,22,3.5541195476575123
Praha,Korunní,13000,3027,22,3.5541195476575123
Praha,Nitranská,13000,3027,22,3.5541195476575123
Praha,U vodárny,13000,3027,22,3.5541195476575123
Praha,Perunova,13000,3028,19,3.4545454545454546
Praha,Kolínská,13000,3028,19,3.4545454545454546
Praha,Libická,13000,3029,22,3.338391502276176
Praha,Boleslavská,13000,3030,23,3.6392405063291138
Praha,Čáslavská,13000,3030,23,3.6392405063291138
Praha,Hradecká,13000,3031,21,3.328050713153724
Praha,Chrudimská,13000,3031,21,3.328050713153724
Praha,Šrobárova,13000,3031,21,3.328050713153724
Praha,Písecká,13000,3032,24,3.619909502262444
Praha,náměstí Jiřího z Lobkovic,13000,3033,18,2.7906976744186047
Praha,Kouřimská,13000,3033,18,2.7906976744186047
Praha,V Horní Stromce,13000,3034,11,1.8211920529801324
Praha,Soběslavská,13000,3034,11,1.8211920529801324
Praha,Votická,13000,3034,11,1.8211920529801324
Praha,Horní Stromky,13000,3034,11,1.8211920529801324
Praha,Hollarovo náměstí,13000,3035,7,1.4227642276422763
Praha,U vinohradské nemocnice,13000,3035,7,1.4227642276422763
Praha,Květná,13000,3035,7,1.4227642276422763
Praha,U vinohradského hřbitova,13000,3035,7,1.4227642276422763
Praha,Na Třebešíně,10000,3036,23,3.571428571428571
Praha,U nákladového nádraží,13000,3036,23,3.571428571428571
Praha,Pod kapličkou,13000,3036,23,3.571428571428571
Praha,K Červenému dvoru,13000,3036,23,3.571428571428571
Praha,Izraelská,13000,3036,23,3.571428571428571
Praha,Jilmová,13000,3036,23,3.571428571428571
Praha,Ambrožova,13000,3036,23,3.571428571428571
Praha,Rečkova,13000,3037,15,2.73224043715847
Praha,Na Ohradě,13000,3038,19,2.7496382054992763
Praha,Buchovcova,13000,3038,19,2.7496382054992763
Praha,Viklefova,13000,3038,19,2.7496382054992763
Praha,Nad Ohradou,13000,3038,19,2.7496382054992763
Praha,Na vápence,13000,3040,26,4.100946372239748
Praha,Za žižkovskou vozovnou,13000,3041,23,3.554868624420402
